Modello caricato su: cuda
Processato il frame 267/919
Processato il frame 268/919
Processato il frame 269/919
Processato il frame 270/919
Processato il frame 271/919
Processato il frame 272/919
Processato il frame 273/919
Processato il frame 274/919
Processato il frame 275/919
Processato il frame 276/919
Processato il frame 277/919
Processato il frame 278/919
Processato il frame 279/919
Processato il frame 280/919
Processato il frame 281/919
Processato il frame 282/919
Processato il frame 283/919
Processato il frame 284/919
Processato il frame 285/919
Processato il frame 286/919
Processato il frame 287/919
Processato il frame 288/919
Processato il frame 289/919
Processato il frame 290/919
Processato il frame 291/919
Processato il frame 292/919
Processato il frame 293/919
Processato il frame 294/919
Processato il frame 295/919
Processato il frame 296/919
Processato il frame 297/919
Processato il frame 298/919
Processato il frame 299/919
Processato il frame 300/919
Processato il frame 301/919
Processato il frame 302/919
Processato il frame 303/919
Processato il frame 304/919
Processato il frame 305/919
Processato il frame 306/919
Processato il frame 307/919
Processato il frame 308/919
Processato il frame 309/919
Processato il frame 310/919
Processato il frame 311/919
Processato il frame 312/919
Processato il frame 313/919
Processato il frame 314/919
Processato il frame 315/919
Processato il frame 316/919
Processato il frame 317/919
Processato il frame 318/919
Processato il frame 319/919
Processato il frame 320/919
Processato il frame 321/919
Processato il frame 322/919
Processato il frame 323/919
Processato il frame 324/919
Processato il frame 325/919
Processato il frame 326/919
Processato il frame 327/919
Processato il frame 328/919
Processato il frame 329/919
Processato il frame 330/919
Processato il frame 331/919
Processato il frame 332/919
Processato il frame 333/919
Processato il frame 334/919
Processato il frame 335/919
Processato il frame 336/919
Processato il frame 337/919
Processato il frame 338/919
Processato il frame 339/919
Processato il frame 340/919
Processato il frame 341/919
Processato il frame 342/919
Processato il frame 343/919
Processato il frame 344/919
Processato il frame 345/919
Processato il frame 346/919
Processato il frame 347/919
Processato il frame 348/919
Processato il frame 349/919
Processato il frame 350/919
Processato il frame 351/919
Processato il frame 352/919
Processato il frame 353/919
Processato il frame 354/919
Processato il frame 355/919
Processato il frame 356/919
Processato il frame 357/919
Processato il frame 358/919
Processato il frame 359/919
Processato il frame 360/919
Processato il frame 361/919
Processato il frame 362/919
Processato il frame 363/919
Processato il frame 364/919
Processato il frame 365/919
Processato il frame 366/919
Processato il frame 367/919
Processato il frame 368/919
Processato il frame 369/919
Processato il frame 370/919
Processato il frame 371/919
Processato il frame 372/919
Processato il frame 373/919
Processato il frame 374/919
Processato il frame 375/919
Processato il frame 376/919
Processato il frame 377/919
Processato il frame 378/919
Processato il frame 379/919
Processato il frame 380/919
Processato il frame 381/919
Processato il frame 382/919
Processato il frame 383/919
Processato il frame 384/919
Processato il frame 385/919
Processato il frame 386/919
Processato il frame 387/919
Processato il frame 388/919
Processato il frame 389/919
Processato il frame 390/919
Processato il frame 391/919
Processato il frame 392/919
Processato il frame 393/919
Processato il frame 394/919
Processato il frame 395/919
Processato il frame 396/919
Processato il frame 397/919
Processato il frame 398/919
Processato il frame 399/919
Processato il frame 400/919
Processato il frame 401/919
Processato il frame 402/919
Processato il frame 403/919
Processato il frame 404/919
Processato il frame 405/919
Processato il frame 406/919
Processato il frame 407/919
Processato il frame 408/919
Processato il frame 409/919
Processato il frame 410/919
Processato il frame 411/919
Processato il frame 412/919
Processato il frame 413/919
Processato il frame 414/919
Processato il frame 415/919
Processato il frame 416/919
Processato il frame 417/919
Processato il frame 418/919
Processato il frame 419/919
Processato il frame 420/919
Processato il frame 421/919
Processato il frame 422/919
Processato il frame 423/919
Processato il frame 424/919
Processato il frame 425/919
Processato il frame 426/919
Processato il frame 427/919
Processato il frame 428/919
Processato il frame 429/919
Processato il frame 430/919
Processato il frame 431/919
Processato il frame 432/919
Processato il frame 433/919
Processato il frame 434/919
Processato il frame 435/919
Processato il frame 436/919
Processato il frame 437/919
Processato il frame 438/919
Processato il frame 439/919
Processato il frame 440/919
Processato il frame 441/919
Processato il frame 442/919
Processato il frame 443/919
Processato il frame 444/919
Processato il frame 445/919
Processato il frame 446/919
Processato il frame 447/919
Processato il frame 448/919
Processato il frame 449/919
Processato il frame 450/919
Processato il frame 451/919
Processato il frame 452/919
Processato il frame 453/919
Processato il frame 454/919
Processato il frame 455/919
Processato il frame 456/919
Processato il frame 457/919
Processato il frame 458/919
Processato il frame 459/919
Processato il frame 460/919
Processato il frame 461/919
Processato il frame 462/919
Processato il frame 463/919
Processato il frame 464/919
Processato il frame 465/919
Processato il frame 466/919
Processato il frame 467/919
Processato il frame 468/919
Processato il frame 469/919
Processato il frame 470/919
Processato il frame 471/919
Processato il frame 472/919
Processato il frame 473/919
Processato il frame 474/919
Processato il frame 475/919
Processato il frame 476/919
Processato il frame 477/919
Processato il frame 478/919
Processato il frame 479/919
Processato il frame 480/919
Processato il frame 481/919
Processato il frame 482/919
Processato il frame 483/919
Processato il frame 484/919
Processato il frame 485/919
Processato il frame 486/919
Processato il frame 487/919
Processato il frame 488/919
Processato il frame 489/919
Processato il frame 490/919
Processato il frame 491/919
Processato il frame 492/919
Processato il frame 493/919
Processato il frame 494/919
Processato il frame 495/919
Processato il frame 496/919
Processato il frame 497/919
Processato il frame 498/919
Processato il frame 499/919
Processato il frame 500/919
Processato il frame 501/919
Processato il frame 502/919
Processato il frame 503/919
Processato il frame 504/919
Processato il frame 505/919
Processato il frame 506/919
Processato il frame 507/919
Processato il frame 508/919
Processato il frame 509/919
Processato il frame 510/919
Processato il frame 511/919
Processato il frame 512/919
Processato il frame 513/919
Processato il frame 514/919
Processato il frame 515/919
Processato il frame 516/919
Processato il frame 517/919
Processato il frame 518/919
Processato il frame 519/919
Processato il frame 520/919
Processato il frame 521/919
Processato il frame 522/919
Processato il frame 523/919
Processato il frame 524/919
Processato il frame 525/919
Processato il frame 526/919
Processato il frame 527/919
Processato il frame 528/919
Processato il frame 529/919
Processato il frame 530/919
Processato il frame 531/919
Processato il frame 532/919
Processato il frame 533/919
Processato il frame 534/919
Processato il frame 535/919
Processato il frame 536/919
Processato il frame 537/919
Processato il frame 538/919
Processato il frame 539/919
Processato il frame 540/919
Processato il frame 541/919
Processato il frame 542/919
Processato il frame 543/919
Processato il frame 544/919
Processato il frame 545/919
Processato il frame 546/919
Processato il frame 547/919
Processato il frame 548/919
Processato il frame 549/919
Processato il frame 550/919
Processato il frame 551/919
Processato il frame 552/919
Processato il frame 553/919
Processato il frame 554/919
Processato il frame 555/919
Processato il frame 556/919
Processato il frame 557/919
Processato il frame 558/919
Processato il frame 559/919
Processato il frame 560/919
Processato il frame 561/919
Processato il frame 562/919
Processato il frame 563/919
Processato il frame 564/919
Processato il frame 565/919
Processato il frame 566/919
Processato il frame 567/919
Processato il frame 568/919
Processato il frame 569/919
Processato il frame 570/919
Processato il frame 571/919
Processato il frame 572/919
Processato il frame 573/919
Processato il frame 574/919
Processato il frame 575/919
Processato il frame 576/919
Processato il frame 577/919
Processato il frame 578/919
Processato il frame 579/919
Processato il frame 580/919
Processato il frame 581/919
Processato il frame 582/919
Processato il frame 583/919
Processato il frame 584/919
Processato il frame 585/919
Processato il frame 586/919
Processato il frame 587/919
Processato il frame 588/919
Processato il frame 589/919
Processato il frame 590/919
Processato il frame 591/919
Processato il frame 592/919
Processato il frame 593/919
Processato il frame 594/919
Processato il frame 595/919
Processato il frame 596/919
Processato il frame 597/919
Processato il frame 598/919
Processato il frame 599/919
Processato il frame 600/919
Processato il frame 601/919
Processato il frame 602/919
Processato il frame 603/919
Processato il frame 604/919
Processato il frame 605/919
Processato il frame 606/919
Processato il frame 607/919
Processato il frame 608/919
Processato il frame 609/919
Processato il frame 610/919
Processato il frame 611/919
Processato il frame 612/919
Processato il frame 613/919
Processato il frame 614/919
Processato il frame 615/919
Processato il frame 616/919
Processato il frame 617/919
Processato il frame 618/919
Processato il frame 619/919
Processato il frame 620/919
Processato il frame 621/919
Processato il frame 622/919
Processato il frame 623/919
Processato il frame 624/919
Processato il frame 625/919
Processato il frame 626/919
Processato il frame 627/919
Processato il frame 628/919
Processato il frame 629/919
Processato il frame 630/919
Processato il frame 631/919
Processato il frame 632/919
Processato il frame 633/919
Processato il frame 634/919
Processato il frame 635/919
Processato il frame 636/919
Processato il frame 637/919
Processato il frame 638/919
Processato il frame 639/919
Processato il frame 640/919
Processato il frame 641/919
Processato il frame 642/919
Processato il frame 643/919
Processato il frame 644/919
Processato il frame 645/919
Processato il frame 646/919
Processato il frame 647/919
Processato il frame 648/919
Processato il frame 649/919
Processato il frame 650/919
Processato il frame 651/919
Processato il frame 652/919
Processato il frame 653/919
Processato il frame 654/919
Processato il frame 655/919
Processato il frame 656/919
Processato il frame 657/919
Processato il frame 658/919
Processato il frame 659/919
Processato il frame 660/919
Processato il frame 661/919
Processato il frame 662/919
Processato il frame 663/919
Processato il frame 664/919
Processato il frame 665/919
Processato il frame 666/919
Processato il frame 667/919
Processato il frame 668/919
Processato il frame 669/919
Processato il frame 670/919
Processato il frame 671/919
Processato il frame 672/919
Processato il frame 673/919
Processato il frame 674/919
Processato il frame 675/919
Processato il frame 676/919
Processato il frame 677/919
Processato il frame 678/919
Processato il frame 679/919
Processato il frame 680/919
Processato il frame 681/919
Processato il frame 682/919
Processato il frame 683/919
Processato il frame 684/919
Processato il frame 685/919
Processato il frame 686/919
Processato il frame 687/919
Processato il frame 688/919
Processato il frame 689/919
Processato il frame 690/919
Processato il frame 691/919
Processato il frame 692/919
Processato il frame 693/919
Processato il frame 694/919
Processato il frame 695/919
Processato il frame 696/919
Processato il frame 697/919
Processato il frame 698/919
Processato il frame 699/919
Processato il frame 700/919
Processato il frame 701/919
Processato il frame 702/919
Processato il frame 703/919
Processato il frame 704/919
Processato il frame 705/919
Processato il frame 706/919
Processato il frame 707/919
Processato il frame 708/919
Processato il frame 709/919
Processato il frame 710/919
Processato il frame 711/919
Processato il frame 712/919
Processato il frame 713/919
Processato il frame 714/919
Processato il frame 715/919
Processato il frame 716/919
Processato il frame 717/919
Processato il frame 718/919
Processato il frame 719/919
Processato il frame 720/919
Processato il frame 721/919
Processato il frame 722/919
Processato il frame 723/919
Processato il frame 724/919
Processato il frame 725/919
Processato il frame 726/919
Processato il frame 727/919
Processato il frame 728/919
Processato il frame 729/919
Processato il frame 730/919
Processato il frame 731/919
Processato il frame 732/919
Processato il frame 733/919
Processato il frame 734/919
Processato il frame 735/919
Processato il frame 736/919
Processato il frame 737/919
Processato il frame 738/919
Processato il frame 739/919
Processato il frame 740/919
Processato il frame 741/919
Processato il frame 742/919
Processato il frame 743/919
Processato il frame 744/919
Processato il frame 745/919
Processato il frame 746/919
Processato il frame 747/919
Processato il frame 748/919
Processato il frame 749/919
Processato il frame 750/919
Processato il frame 751/919
Processato il frame 752/919
Processato il frame 753/919
Processato il frame 754/919
Processato il frame 755/919
Processato il frame 756/919
Processato il frame 757/919
Processato il frame 758/919
Processato il frame 759/919
Processato il frame 760/919
Processato il frame 761/919
Processato il frame 762/919
Processato il frame 763/919
Processato il frame 764/919
Processato il frame 765/919
Processato il frame 766/919
Processato il frame 767/919
Processato il frame 768/919
Processato il frame 769/919
Processato il frame 770/919
Processato il frame 771/919
Processato il frame 772/919
Processato il frame 773/919
Processato il frame 774/919
Processato il frame 775/919
Processato il frame 776/919
Processato il frame 777/919
Processato il frame 778/919
Processato il frame 779/919
Processato il frame 780/919
Processato il frame 781/919
Processato il frame 782/919
Processato il frame 783/919
Processato il frame 784/919
Processato il frame 785/919
Processato il frame 786/919
Processato il frame 787/919
Processato il frame 788/919
Processato il frame 789/919
Processato il frame 790/919
Processato il frame 791/919
Processato il frame 792/919
Processato il frame 793/919
Processato il frame 794/919
Processato il frame 795/919
Processato il frame 796/919
Processato il frame 797/919
Processato il frame 798/919
Processato il frame 799/919
Processato il frame 800/919
Processato il frame 801/919
Processato il frame 802/919
Processato il frame 803/919
Processato il frame 804/919
Processato il frame 805/919
Processato il frame 806/919
Processato il frame 807/919
Processato il frame 808/919
Processato il frame 809/919
Processato il frame 810/919
Processato il frame 811/919
Processato il frame 812/919
Processato il frame 813/919
Processato il frame 814/919
Processato il frame 815/919
Processato il frame 816/919
Processato il frame 817/919
Processato il frame 818/919
Processato il frame 819/919
Processato il frame 820/919
Processato il frame 821/919
Processato il frame 822/919
Processato il frame 823/919
Processato il frame 824/919
Processato il frame 825/919
Processato il frame 826/919
Processato il frame 827/919
Processato il frame 828/919
Processato il frame 829/919
Processato il frame 830/919
Processato il frame 831/919
Processato il frame 832/919
Processato il frame 833/919
Processato il frame 834/919
Processato il frame 835/919
Processato il frame 836/919
Processato il frame 837/919
Processato il frame 838/919
Processato il frame 839/919
Processato il frame 840/919
Processato il frame 841/919
Processato il frame 842/919
Processato il frame 843/919
Processato il frame 844/919
Processato il frame 845/919
Processato il frame 846/919
Processato il frame 847/919
Processato il frame 848/919
Processato il frame 849/919
Processato il frame 850/919
Processato il frame 851/919
Processato il frame 852/919
Processato il frame 853/919
Processato il frame 854/919
Processato il frame 855/919
Processato il frame 856/919
Processato il frame 857/919
Processato il frame 858/919
Processato il frame 859/919
Processato il frame 860/919
Processato il frame 861/919
Processato il frame 862/919
Processato il frame 863/919
Processato il frame 864/919
Processato il frame 865/919
Processato il frame 866/919
Processato il frame 867/919
Processato il frame 868/919
Processato il frame 869/919
Processato il frame 870/919
Processato il frame 871/919
Processato il frame 872/919
Processato il frame 873/919
Processato il frame 874/919
Processato il frame 875/919
Processato il frame 876/919
Processato il frame 877/919
Processato il frame 878/919
Processato il frame 879/919
Processato il frame 880/919
Processato il frame 881/919
Processato il frame 882/919
Processato il frame 883/919
Processato il frame 884/919
Processato il frame 885/919
Processato il frame 886/919
Processato il frame 887/919
Processato il frame 888/919
Processato il frame 889/919
Processato il frame 890/919
Processato il frame 891/919
Processato il frame 892/919
Processato il frame 893/919
Processato il frame 894/919
Processato il frame 895/919
Processato il frame 896/919
Processato il frame 897/919
Processato il frame 898/919
Processato il frame 899/919
Processato il frame 900/919
Processato il frame 901/919
Processato il frame 902/919
Processato il frame 903/919
Processato il frame 904/919
Processato il frame 905/919
Processato il frame 906/919
Processato il frame 907/919
Processato il frame 908/919
Processato il frame 909/919
Processato il frame 910/919
Processato il frame 911/919
Processato il frame 912/919
Processato il frame 913/919
Processato il frame 914/919
Processato il frame 915/919
Processato il frame 916/919
Processato il frame 917/919
Processato il frame 918/919
Processato il frame 919/919
Fine inferenza, video salvato in debug/prova2.mp4
Fine inferenza, labels file salvato in debug/labels.txt
Tempo per inferenza: 248.572230 secondi
