Modello caricato su: cuda
Processato il frame 327/900
Processato il frame 328/900
Processato il frame 329/900
Processato il frame 330/900
Processato il frame 331/900
Processato il frame 332/900
Processato il frame 333/900
Processato il frame 334/900
Processato il frame 335/900
Processato il frame 336/900
Processato il frame 337/900
Processato il frame 338/900
Processato il frame 339/900
Processato il frame 340/900
Processato il frame 341/900
Processato il frame 342/900
Processato il frame 343/900
Processato il frame 344/900
Processato il frame 345/900
Processato il frame 346/900
Processato il frame 347/900
Processato il frame 348/900
Processato il frame 349/900
Processato il frame 350/900
Processato il frame 351/900
Processato il frame 352/900
Processato il frame 353/900
Processato il frame 354/900
Processato il frame 355/900
Processato il frame 356/900
Processato il frame 357/900
Processato il frame 358/900
Processato il frame 359/900
Processato il frame 360/900
Processato il frame 361/900
Processato il frame 362/900
Processato il frame 363/900
Processato il frame 364/900
Processato il frame 365/900
Processato il frame 366/900
Processato il frame 367/900
Processato il frame 368/900
Processato il frame 369/900
Processato il frame 370/900
Processato il frame 371/900
Processato il frame 372/900
Processato il frame 373/900
Processato il frame 374/900
Processato il frame 375/900
Processato il frame 376/900
Processato il frame 377/900
Processato il frame 378/900
Processato il frame 379/900
Processato il frame 380/900
Processato il frame 381/900
Processato il frame 382/900
Processato il frame 383/900
Processato il frame 384/900
Processato il frame 385/900
Processato il frame 386/900
Processato il frame 387/900
Processato il frame 388/900
Processato il frame 389/900
Processato il frame 390/900
Processato il frame 391/900
Processato il frame 392/900
Processato il frame 393/900
Processato il frame 394/900
Processato il frame 395/900
Processato il frame 396/900
Processato il frame 397/900
Processato il frame 398/900
Processato il frame 399/900
Processato il frame 400/900
Processato il frame 401/900
Processato il frame 402/900
Processato il frame 403/900
Processato il frame 404/900
Processato il frame 405/900
Processato il frame 406/900
Processato il frame 407/900
Processato il frame 408/900
Processato il frame 409/900
Processato il frame 410/900
Processato il frame 411/900
Processato il frame 412/900
Processato il frame 413/900
Processato il frame 414/900
Processato il frame 415/900
Processato il frame 416/900
Processato il frame 417/900
Processato il frame 418/900
Processato il frame 419/900
Processato il frame 420/900
Processato il frame 421/900
Processato il frame 422/900
Processato il frame 423/900
Processato il frame 424/900
Processato il frame 425/900
Processato il frame 426/900
Processato il frame 427/900
Processato il frame 428/900
Processato il frame 429/900
Processato il frame 430/900
Processato il frame 431/900
Processato il frame 432/900
Processato il frame 433/900
Processato il frame 434/900
Processato il frame 435/900
Processato il frame 436/900
Processato il frame 437/900
Processato il frame 438/900
Processato il frame 439/900
Processato il frame 440/900
Processato il frame 441/900
Processato il frame 442/900
Processato il frame 443/900
Processato il frame 444/900
Processato il frame 445/900
Processato il frame 446/900
Processato il frame 447/900
Processato il frame 448/900
Processato il frame 449/900
Processato il frame 450/900
Processato il frame 451/900
Processato il frame 452/900
Processato il frame 453/900
Processato il frame 454/900
Processato il frame 455/900
Processato il frame 456/900
Processato il frame 457/900
Processato il frame 458/900
Processato il frame 459/900
Processato il frame 460/900
Processato il frame 461/900
Processato il frame 462/900
Processato il frame 463/900
Processato il frame 464/900
Processato il frame 465/900
Processato il frame 466/900
Processato il frame 467/900
Processato il frame 468/900
Processato il frame 469/900
Processato il frame 470/900
Processato il frame 471/900
Processato il frame 472/900
Processato il frame 473/900
Processato il frame 474/900
Processato il frame 475/900
Processato il frame 476/900
Processato il frame 477/900
Processato il frame 478/900
Processato il frame 479/900
Processato il frame 480/900
Processato il frame 481/900
Processato il frame 482/900
Processato il frame 483/900
Processato il frame 484/900
Processato il frame 485/900
Processato il frame 486/900
Processato il frame 487/900
Processato il frame 488/900
Processato il frame 489/900
Processato il frame 490/900
Processato il frame 491/900
Processato il frame 492/900
Processato il frame 493/900
Processato il frame 494/900
Processato il frame 495/900
Processato il frame 496/900
Processato il frame 497/900
Processato il frame 498/900
Processato il frame 499/900
Processato il frame 500/900
Processato il frame 501/900
Processato il frame 502/900
Processato il frame 503/900
Processato il frame 504/900
Processato il frame 505/900
Processato il frame 506/900
Processato il frame 507/900
Processato il frame 508/900
Processato il frame 509/900
Processato il frame 510/900
Processato il frame 511/900
Processato il frame 512/900
Processato il frame 513/900
Processato il frame 514/900
Processato il frame 515/900
Processato il frame 516/900
Processato il frame 517/900
Processato il frame 518/900
Processato il frame 519/900
Processato il frame 520/900
Processato il frame 521/900
Processato il frame 522/900
Processato il frame 523/900
Processato il frame 524/900
Processato il frame 525/900
Processato il frame 526/900
Processato il frame 527/900
Processato il frame 528/900
Processato il frame 529/900
Processato il frame 530/900
Processato il frame 531/900
Processato il frame 532/900
Processato il frame 533/900
Processato il frame 534/900
Processato il frame 535/900
Processato il frame 536/900
Processato il frame 537/900
Processato il frame 538/900
Processato il frame 539/900
Processato il frame 540/900
Processato il frame 541/900
Processato il frame 542/900
Processato il frame 543/900
Processato il frame 544/900
Processato il frame 545/900
Processato il frame 546/900
Processato il frame 547/900
Processato il frame 548/900
Processato il frame 549/900
Processato il frame 550/900
Processato il frame 551/900
Processato il frame 552/900
Processato il frame 553/900
Processato il frame 554/900
Processato il frame 555/900
Processato il frame 556/900
Processato il frame 557/900
Processato il frame 558/900
Processato il frame 559/900
Processato il frame 560/900
Processato il frame 561/900
Processato il frame 562/900
Processato il frame 563/900
Processato il frame 564/900
Processato il frame 565/900
Processato il frame 566/900
Processato il frame 567/900
Processato il frame 568/900
Processato il frame 569/900
Processato il frame 570/900
Processato il frame 571/900
Processato il frame 572/900
Processato il frame 573/900
Processato il frame 574/900
Processato il frame 575/900
Processato il frame 576/900
Processato il frame 577/900
Processato il frame 578/900
Processato il frame 579/900
Processato il frame 580/900
Processato il frame 581/900
Processato il frame 582/900
Processato il frame 583/900
Processato il frame 584/900
Processato il frame 585/900
Processato il frame 586/900
Processato il frame 587/900
Processato il frame 588/900
Processato il frame 589/900
Processato il frame 590/900
Processato il frame 591/900
Processato il frame 592/900
Processato il frame 593/900
Processato il frame 594/900
Processato il frame 595/900
Processato il frame 596/900
Processato il frame 597/900
Processato il frame 598/900
Processato il frame 599/900
Processato il frame 600/900
Processato il frame 601/900
Processato il frame 602/900
Processato il frame 603/900
Processato il frame 604/900
Processato il frame 605/900
Processato il frame 606/900
Processato il frame 607/900
Processato il frame 608/900
Processato il frame 609/900
Processato il frame 610/900
Processato il frame 611/900
Processato il frame 612/900
Processato il frame 613/900
Processato il frame 614/900
Processato il frame 615/900
Processato il frame 616/900
Processato il frame 617/900
Processato il frame 618/900
Processato il frame 619/900
Processato il frame 620/900
Processato il frame 621/900
Processato il frame 622/900
Processato il frame 623/900
Processato il frame 624/900
Processato il frame 625/900
Processato il frame 626/900
Processato il frame 627/900
Processato il frame 628/900
Processato il frame 629/900
Processato il frame 630/900
Processato il frame 631/900
Processato il frame 632/900
Processato il frame 633/900
Processato il frame 634/900
Processato il frame 635/900
Processato il frame 636/900
Processato il frame 637/900
Processato il frame 638/900
Processato il frame 639/900
Processato il frame 640/900
Processato il frame 641/900
Processato il frame 642/900
Processato il frame 643/900
Processato il frame 644/900
Processato il frame 645/900
Processato il frame 646/900
Processato il frame 647/900
Processato il frame 648/900
Processato il frame 649/900
Processato il frame 650/900
Processato il frame 651/900
Processato il frame 652/900
Processato il frame 653/900
Processato il frame 654/900
Processato il frame 655/900
Processato il frame 656/900
Processato il frame 657/900
Processato il frame 658/900
Processato il frame 659/900
Processato il frame 660/900
Processato il frame 661/900
Processato il frame 662/900
Processato il frame 663/900
Processato il frame 664/900
Processato il frame 665/900
Processato il frame 666/900
Processato il frame 667/900
Processato il frame 668/900
Processato il frame 669/900
Processato il frame 670/900
Processato il frame 671/900
Processato il frame 672/900
Processato il frame 673/900
Processato il frame 674/900
Processato il frame 675/900
Processato il frame 676/900
Processato il frame 677/900
Processato il frame 678/900
Processato il frame 679/900
Processato il frame 680/900
Processato il frame 681/900
Processato il frame 682/900
Processato il frame 683/900
Processato il frame 684/900
Processato il frame 685/900
Processato il frame 686/900
Processato il frame 687/900
Processato il frame 688/900
Processato il frame 689/900
Processato il frame 690/900
Processato il frame 691/900
Processato il frame 692/900
Processato il frame 693/900
Processato il frame 694/900
Processato il frame 695/900
Processato il frame 696/900
Processato il frame 697/900
Processato il frame 698/900
Processato il frame 699/900
Processato il frame 700/900
Processato il frame 701/900
Processato il frame 702/900
Processato il frame 703/900
Processato il frame 704/900
Processato il frame 705/900
Processato il frame 706/900
Processato il frame 707/900
Processato il frame 708/900
Processato il frame 709/900
Processato il frame 710/900
Processato il frame 711/900
Processato il frame 712/900
Processato il frame 713/900
Processato il frame 714/900
Processato il frame 715/900
Processato il frame 716/900
Processato il frame 717/900
Processato il frame 718/900
Processato il frame 719/900
Processato il frame 720/900
Processato il frame 721/900
Processato il frame 722/900
Processato il frame 723/900
Processato il frame 724/900
Processato il frame 725/900
Processato il frame 726/900
Processato il frame 727/900
Processato il frame 728/900
Processato il frame 729/900
Processato il frame 730/900
Processato il frame 731/900
Processato il frame 732/900
Processato il frame 733/900
Processato il frame 734/900
Processato il frame 735/900
Processato il frame 736/900
Processato il frame 737/900
Processato il frame 738/900
Processato il frame 739/900
Processato il frame 740/900
Processato il frame 741/900
Processato il frame 742/900
Processato il frame 743/900
Processato il frame 744/900
Processato il frame 745/900
Processato il frame 746/900
Processato il frame 747/900
Processato il frame 748/900
Processato il frame 749/900
Processato il frame 750/900
Processato il frame 751/900
Processato il frame 752/900
Processato il frame 753/900
Processato il frame 754/900
Processato il frame 755/900
Processato il frame 756/900
Processato il frame 757/900
Processato il frame 758/900
Processato il frame 759/900
Processato il frame 760/900
Processato il frame 761/900
Processato il frame 762/900
Processato il frame 763/900
Processato il frame 764/900
Processato il frame 765/900
Processato il frame 766/900
Processato il frame 767/900
Processato il frame 768/900
Processato il frame 769/900
Processato il frame 770/900
Processato il frame 771/900
Processato il frame 772/900
Processato il frame 773/900
Processato il frame 774/900
Processato il frame 775/900
Processato il frame 776/900
Processato il frame 777/900
Processato il frame 778/900
Processato il frame 779/900
Processato il frame 780/900
Processato il frame 781/900
Processato il frame 782/900
Processato il frame 783/900
Processato il frame 784/900
Processato il frame 785/900
Processato il frame 786/900
Processato il frame 787/900
Processato il frame 788/900
Processato il frame 789/900
Processato il frame 790/900
Processato il frame 791/900
Processato il frame 792/900
Processato il frame 793/900
Processato il frame 794/900
Processato il frame 795/900
Processato il frame 796/900
Processato il frame 797/900
Processato il frame 798/900
Processato il frame 799/900
Processato il frame 800/900
Processato il frame 801/900
Processato il frame 802/900
Processato il frame 803/900
Processato il frame 804/900
Processato il frame 805/900
Processato il frame 806/900
Processato il frame 807/900
Processato il frame 808/900
Processato il frame 809/900
Processato il frame 810/900
Processato il frame 811/900
Processato il frame 812/900
Processato il frame 813/900
Processato il frame 814/900
Processato il frame 815/900
Processato il frame 816/900
Processato il frame 817/900
Processato il frame 818/900
Processato il frame 819/900
Processato il frame 820/900
Processato il frame 821/900
Processato il frame 822/900
Processato il frame 823/900
Processato il frame 824/900
Processato il frame 825/900
Processato il frame 826/900
Processato il frame 827/900
Processato il frame 828/900
Processato il frame 829/900
Processato il frame 830/900
Processato il frame 831/900
Processato il frame 832/900
Processato il frame 833/900
Processato il frame 834/900
Processato il frame 835/900
Processato il frame 836/900
Processato il frame 837/900
Processato il frame 838/900
Processato il frame 839/900
Processato il frame 840/900
Processato il frame 841/900
Processato il frame 842/900
Processato il frame 843/900
Processato il frame 844/900
Processato il frame 845/900
Processato il frame 846/900
Processato il frame 847/900
Processato il frame 848/900
Processato il frame 849/900
Processato il frame 850/900
Processato il frame 851/900
Processato il frame 852/900
Processato il frame 853/900
Processato il frame 854/900
Processato il frame 855/900
Processato il frame 856/900
Processato il frame 857/900
Processato il frame 858/900
Processato il frame 859/900
Processato il frame 860/900
Processato il frame 861/900
Processato il frame 862/900
Processato il frame 863/900
Processato il frame 864/900
Processato il frame 865/900
Processato il frame 866/900
Processato il frame 867/900
Processato il frame 868/900
Processato il frame 869/900
Processato il frame 870/900
Processato il frame 871/900
Processato il frame 872/900
Processato il frame 873/900
Processato il frame 874/900
Processato il frame 875/900
Processato il frame 876/900
Processato il frame 877/900
Processato il frame 878/900
Processato il frame 879/900
Processato il frame 880/900
Processato il frame 881/900
Processato il frame 882/900
Processato il frame 883/900
Processato il frame 884/900
Processato il frame 885/900
Processato il frame 886/900
Processato il frame 887/900
Processato il frame 888/900
Processato il frame 889/900
Processato il frame 890/900
Processato il frame 891/900
Processato il frame 892/900
Processato il frame 893/900
Processato il frame 894/900
Processato il frame 895/900
Processato il frame 896/900
Processato il frame 897/900
Processato il frame 898/900
Processato il frame 899/900
Processato il frame 900/900
Fine inferenza, video salvato in 20240826_181252_20240909_143019.mp4
Fine inferenza, labels file salvato in labels.txt
Tempo per inferenza: 179.084261 secondi
